id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
1,Alchemist,https://www.instagram.com/alchemist.fragrance/,Powder Room,,https://shopee.co.id/alchemist.fragrance/17137354148,EDP,4.4,Unisex,50,"199,000.00","3,980.00",Watery,Red Rose,Pink Pepper,Violet,Orange Blossom,Peony,Musk,Marine,Sandalwood
2,Alchemist,,Out West,,https://shopee.co.id/ALCHEMIST-EXTRAIT-DE-PARFUM-OUTWEST-i.724605317.20051778966?xptdk=e21eae9a-4f47-434d-9566-16c94b822289,EDP,4.1,Unisex,50,"199,000.00","3,980.00",Yuzu,Bergamot,Green Apple,Cedarwood,Red Rose,Plum,Musk,Patchouli,Vetiver
3,Alchemist,,Home Garden,,https://shopee.co.id/ALCHEMIST-EAU-DE-PARFUM-HOME-GARDEN-i.724605317.16137361283?xptdk=e1bad124-ef55-483c-ba5d-b1cd7c3e5ce8,EDP,4.3,Unisex,50,"199,000.00","3,980.00",Blackberry,Grapefruit,Clove,Cedarwood,Vetiver,,Floral,,
4,Alchemist,,Got My Mojo Back,,https://shopee.co.id/ALCHEMIST-EAU-DE-PARFUM-GOT-MY-MOJO-BACK-i.724605317.17037358583?xptdk=4386102d-c191-4494-8438-9108341cfad6,EDP,4,Unisex,50,"199,000.00","3,980.00",Chocolate,Blackcurrant,Almond,Cedarwood,Tuberose,Sambac,Praline Hs,Sandalwood,Amber
5,Alchemist,,Pink Laundry,,https://shopee.co.id/ALCHEMIST-EAU-DE-PARFUM-PINK-LAUNDRY-i.724605317.17137356907?xptdk=9b6bcb0f-0059-4f4f-ad4c-79de9da24bbb,EDP,4.2,Unisex,50,"199,000.00","3,980.00",Clean Aldehyde,Chamomile,Green,Jasmine,Lily Of The Valley,Red Rose,Musk,Patchouli,Sandalwood
6,Alien Objects,https://www.instagram.com/alienobjects/,XOXO,,https://shopee.co.id/alienobjects/14283008217,EDP,4.1,Feminime,50,"750,000.00","15,000.00",Dew,Strawberry,Lotus,Tulip,Musk,Oakmoss,Orange Blossom,,
7,Alien Objects,,HUGS,,https://shopee.co.id/Alien-Objects-HUGS-50ml-Eau-de-Parfum-i.769703211.22912444782?xptdk=17a759be-ea31-497a-93c8-69331675f9c6,EDP,4.1,Feminime,50,"810,000.00","16,200.00",Vanilla,Orchid,Almond,Amber,Rum,Benzoin,,,
8,Alien Objects,,MECCA,,https://shopee.co.id/Alien-Objects-MECCA-50ml-Eau-de-Parfum-i.769703211.17965480595?sp_atk=7b25ccd6-4200-40e5-80bd-e3b350295dad&xptdk=7b25ccd6-4200-40e5-80bd-e3b350295dad,EDP,4.2,Feminime,50,"825,000.00","16,500.00",Jasmine,Saffron,Orris,Musk,Cinnamon,Sandalwood,Amber,Oud,
9,Alien Objects,,Morphine,,https://shopee.co.id/Alien-Objects-Morphine-50ml-Eau-de-Parfum-i.769703211.10895257144?sp_atk=d56aafb3-dd49-41b0-9867-dc9a2cb6f5d2&xptdk=d56aafb3-dd49-41b0-9867-dc9a2cb6f5d2,EDP,4.7,Feminime,50,"910,000.00","18,200.00",Milk,Fig,Leathery,Jatamansi,Violet,Cannabis,Tonka Bean,Sandalwood,
10,Alien Objects,,Abstract,,https://shopee.co.id/Alien-Objects-Abstract-50ml-Eau-de-Parfum-i.769703211.17165495841?sp_atk=f59f23bf-fa30-429d-be01-676c93883c64&xptdk=f59f23bf-fa30-429d-be01-676c93883c64,EDP,4.1,Feminime,50,"750,000.00","15,000.00",Bergamot,Grapefruit,Cotton Flower,Ambergris,Musk,,,,
11,Alien Objects,,DORAEMON,,https://shopee.co.id/Alien-Objects-DORAEMON-50ml-Eau-de-Parfum-i.769703211.15483080473?sp_atk=ebb2a7fe-7a7f-4179-bc32-0125c39167ed&xptdk=ebb2a7fe-7a7f-4179-bc32-0125c39167ed,EDP,4.9,Feminime,50,"810,000.00","16,200.00",Lemon,Lime,Soda,Sake,Sandalwood,,,,
12,Alien Objects,,COGNAC,,https://shopee.co.id/Alien-Objects-COGNAC-50ml-Eau-de-Parfum-i.769703211.18569138799?sp_atk=19972be8-70c3-4588-bfc0-fdaba1440176&xptdk=19972be8-70c3-4588-bfc0-fdaba1440176,EDP,4.6,Feminime,50,"810,000.00","16,200.00",Grapefruit,Apricot,Plum,Licorice,Pear,Cinnamon,Ginger,Saffron,Oak
13,Alien Objects,,Aurora,,https://shopee.co.id/Alien-Objects-Aurora-50ml-Eau-de-Parfum-i.769703211.13391742720?sp_atk=961671b5-4c01-4f86-9196-fdcba438d397&xptdk=961671b5-4c01-4f86-9196-fdcba438d397,EDP,4.5,Feminime,50,"750,000.00","15,000.00",Lavender,Mint,Clary Sage,Petitgrain,Iris,Yuzu,Apricot,Musk,Licorice
14,Alien Objects,,Pandan,,https://shopee.co.id/Alien-Objects-Pandan-50ml-Eau-de-Parfum-i.769703211.16265473488?sp_atk=ddcdfb9b-8f30-40b4-b838-2f2646a75626&xptdk=ddcdfb9b-8f30-40b4-b838-2f2646a75626,EDP,4.9,Feminime,50,"800,000.00","16,000.00",Pandan,Rice,Coconut,Oud,,,,,
15,Alien Objects,,INDONESIA,,https://shopee.co.id/Alien-Objects-INDONESIA-Eau-de-Parfum-50ml-i.769703211.18501892051?sp_atk=b24ff286-2bf4-4a8a-8d07-ef73034e5d2c&xptdk=b24ff286-2bf4-4a8a-8d07-ef73034e5d2c,EDP,4.9,Feminime,50,"1,000,000.00","20,000.00",Kunyit,Curcuma,Ginger,Rice,Aromatic Ginger,Lemongrass,,,
16,Alien Objects,,Jamu Melati,,https://shopee.co.id/Alien-Objects-Jamu-Melati-INDONESIA-Edisi-2022-50ml-i.769703211.21334406187?sp_atk=a1fd44b0-a2a0-4bc4-b278-89215f65ef8d&xptdk=a1fd44b0-a2a0-4bc4-b278-89215f65ef8d,EDP,4.3,Feminime,50,"1,000,000.00","20,000.00",Melati,Lime,Lemongrass,Turmeric,Curcuma,,,,
